	n_pathways
ENSG00000128050	4
ENSG00000291938	5
ENSG00000183751	5
ENSG00000123933	4
ENSG00000070731	21
ENSG00000163110	3
ENSG00000110171	4
ENSG00000107566	13
ENSG00000125826	10
ENSG00000124356	4
ENSG00000292253	12
ENSG00000152291	12
ENSG00000138778	32
ENSG00000132664	12
ENSG00000113356	12
ENSG00000186141	12
ENSG00000101608	7
ENSG00000265972	20
ENSG00000162227	3
ENSG00000117724	21
ENSG00000162493	5
ENSG00000167283	8
ENSG00000111247	18
ENSG00000169220	4
ENSG00000243709	3
ENSG00000070367	11
ENSG00000114388	4
ENSG00000159217	5
ENSG00000136231	2
ENSG00000073792	2
ENSG00000110931	21
ENSG00000141391	6
ENSG00000128654	5
ENSG00000106636	20
ENSG00000167642	5
ENSG00000163344	7
ENSG00000131773	4
ENSG00000121774	4
ENSG00000262243	11
ENSG00000198848	11
ENSG00000172215	8
ENSG00000102974	7
ENSG00000150637	3
ENSG00000145982	4
ENSG00000155876	23
ENSG00000104671	20
ENSG00000120063	18
ENSG00000102524	8
ENSG00000114646	18
ENSG00000170340	9
ENSG00000177143	6
ENSG00000069966	74
ENSG00000147155	6
ENSG00000137843	14
ENSG00000090932	4
ENSG00000113946	4
ENSG00000147400	27
ENSG00000292191	27
ENSG00000172461	4
ENSG00000180245	7
ENSG00000132141	9
ENSG00000291533	17
ENSG00000156261	17
ENSG00000137161	4
ENSG00000145244	3
ENSG00000164742	49
ENSG00000087237	9
ENSG00000168883	4
ENSG00000077514	48
ENSG00000223802	4
ENSG00000134262	5
ENSG00000185737	29
ENSG00000172757	25
ENSG00000213759	6
ENSG00000051341	4
ENSG00000113504	4
ENSG00000276482	4
ENSG00000090273	20
ENSG00000110958	24
ENSG00000136758	8
ENSG00000142731	17
ENSG00000066923	4
ENSG00000101972	24
ENSG00000170577	3
ENSG00000108557	5
ENSG00000009724	14
ENSG00000129250	8
ENSG00000109861	17
ENSG00000154016	3
ENSG00000134121	5
ENSG00000135773	2
ENSG00000123159	11
ENSG00000093000	75
ENSG00000117139	11
ENSG00000112339	7
ENSG00000168710	38
ENSG00000145632	15
ENSG00000188529	6
ENSG00000105171	3
ENSG00000128989	5
ENSG00000263002	3
ENSG00000174652	3
ENSG00000171606	3
ENSG00000119408	9
ENSG00000160193	3
ENSG00000124564	3
ENSG00000061676	23
ENSG00000145703	12
ENSG00000198039	6
ENSG00000197714	3
ENSG00000090612	3
ENSG00000065911	4
ENSG00000167825	3
ENSG00000124787	6
ENSG00000078295	46
ENSG00000001626	31
ENSG00000173198	18
ENSG00000113615	25
ENSG00000173585	8
ENSG00000121742	5
ENSG00000054282	17
ENSG00000276111	17
ENSG00000120694	7
ENSG00000214530	5
ENSG00000135346	30
ENSG00000132970	21
ENSG00000188747	14
ENSG00000156697	5
ENSG00000168993	9
ENSG00000137218	30
ENSG00000166225	65
ENSG00000104827	9
ENSG00000162139	11
ENSG00000055147	4
ENSG00000170956	5
ENSG00000144908	4
ENSG00000160282	3
ENSG00000281775	3
ENSG00000130640	9
ENSG00000166855	2
ENSG00000112541	8
ENSG00000104881	6
ENSG00000117877	10
ENSG00000213927	8
ENSG00000173083	8
ENSG00000183207	8
ENSG00000101856	3
ENSG00000036530	10
ENSG00000274669	3
ENSG00000277807	3
ENSG00000277134	3
ENSG00000104972	3
ENSG00000276452	3
ENSG00000145217	8
ENSG00000137204	6
ENSG00000136878	4
ENSG00000172046	4
ENSG00000280501	3
ENSG00000007306	3
ENSG00000126264	3
ENSG00000167850	3
ENSG00000291920	3
ENSG00000151376	3
ENSG00000109255	8
ENSG00000127951	3
ENSG00000134365	4
ENSG00000116785	4
ENSG00000124469	7
ENSG00000112996	7
ENSG00000065183	5
ENSG00000056291	8
ENSG00000169618	7
ENSG00000123901	4
ENSG00000084733	11
ENSG00000109819	39
ENSG00000172175	13
ENSG00000125966	3
ENSG00000133800	5
ENSG00000174851	5
ENSG00000160917	22
ENSG00000138031	48
ENSG00000284807	6
ENSG00000157326	6
