enzyme	gene	frac	C	J_rel
FH	FH	0.3	0.0013582068239146195	0.9990557207711153
FH	FH	0.2	0.0020557728133236332	0.9983744705011545
FH	FH	0.1	0.0042252771978954235	0.996296153184319
FH	FH	0.05	0.008933533951487828	0.9919775429123068
FH	FH	0.03	0.016068623042523267	0.9858593211519326
FH	FH	0.02	0.026604527448719294	0.9775728167646675
FH	FH	0.01	0.07317368793286795	0.9475018394350104
FH	FH	0.005	0.28720113734816194	0.8531504892038202
FH	FH	0.002	0.9187238499237165	0.4704928728617085
MDH2	MDH2	1.0	0.0007800526761470806	1.0
MDH2	MDH2	0.7	0.0011160124253008401	0.9996655224435296
MDH2	MDH2	0.5	0.0015655051249981455	0.9992189557844303
MDH2	MDH2	0.3	0.0026212200852886013	0.9981743125827826
MDH2	MDH2	0.2	0.003954523472552135	0.9968632744429724
MDH2	MDH2	0.1	0.00804665680913457	0.9928951450324205
MDH2	MDH2	0.05	0.016656653477486186	0.9848002926604748
MDH2	MDH2	0.03	0.02905635014387279	0.9736752870610005
MDH2	MDH2	0.02	0.04611180059311819	0.959231662111769
MDH2	MDH2	0.01	0.10842693916626087	0.9123538278713371
MDH2	MDH2	0.005	0.2811473180511391	0.8051998727326171
MDH2	MDH2	0.002	0.7539394770037967	0.5033497597948345
CI	NDUFS1	1.0	0.08467554285211165	1.0
CI	NDUFS1	0.7	0.1347522914611158	0.9623730818890328
CI	NDUFS1	0.5	0.21339101052258055	0.9086123113011455
CI	NDUFS1	0.3	0.42189526693522383	0.7763316647105173
CI	NDUFS1	0.2	0.6388238586861753	0.6261147418361016
CI	NDUFS1	0.1	0.8843848207551219	0.3644768090003305
CI	NDUFS1	0.05	0.9627191791007049	0.1910888107975809
CI	NDUFS1	0.03	0.9820423863099398	0.11620155155998649
CI	NDUFS1	0.02	0.9893238769133745	0.07790701878567032
CI	NDUFS1	0.01	0.9951534090812508	0.03915149010979656
CI	NDUFS1	0.005	0.9975761356723046	0.019622918761693725
CI	NDUFS1	0.002	0.9989154830782021	0.007861043255194442
OX	MT-CO1	1.0	0.735654559617168	1.0
OX	MT-CO1	0.7	0.8035865160124586	0.7595782006168634
OX	MT-CO1	0.5	0.853014246084938	0.5746072326173778
OX	MT-CO1	0.3	0.9053553529027626	0.36633925700150094
OX	MT-CO1	0.2	0.9325686462711079	0.25229729163400966
OX	MT-CO1	0.1	0.9609038382393164	0.13075871439423925
OX	MT-CO1	0.05	0.9762377753625735	0.06678455053480267
OX	MT-CO1	0.03	0.9830803974322478	0.040484549582860345
OX	MT-CO1	0.02	0.9869049463720848	0.02715339792175058
OX	MT-CO1	0.01	0.991404312664441	0.01367753765958305
OX	MT-CO1	0.005	0.9943594362124106	0.006872145775609965
OX	MT-CO1	0.002	0.996945395715098	0.0027595827405250523
