organ	n_genes	Dn	Ds	Pn	Ps	DnDs	PnPs	alpha	NI	DoS	fisher_p	alpha_lo	alpha_hi	n_gene_dos	median_DoS_gene	median_DoS_rest	dos_p	dos_q
Adrenal	49	1988.1666666666665	1925.8333333333333	14439.0	6426.0	1.0323669407183038	2.246965452847806	-1.1765182167538266	2.1765182167538266	-0.1840572610674187	4.637502320719245e-106	-1.6923901312700078	-0.7405453360294644	46	-0.1740205327253887	-0.24435704009159023	0.20568143958051133	0.3638979315655201
Vagina	71	2212.0	2163.0	17946.0	7496.0	1.022653721682848	2.394076840981857	-1.3410434932385882	2.341043493238588	-0.19976907475827366	3.319008701663074e-142	-1.8267269378006135	-0.9710517098668516	64	-0.21934499257548262	-0.2444132157832225	0.3236212979394375	0.4369066046658839
Skin	168	5128.166666666666	5130.833333333334	41915.0	17870.0	0.9994802663634885	2.3455512031337435	-1.3467708989070917	2.3467708989070917	-0.2012255597232211	0.0	-1.677198964116869	-1.0823909344952425	144	-0.2302732379979571	-0.24432241322624335	0.3918896029328769	0.47439267723453515
Kidney	114	3861.5	4080.5	32699.0	14572.0	0.9463301066045827	2.243961021136426	-1.3712243808745788	2.3712243808745788	-0.20552234939161773	7.118982800371359e-268	-1.7117859102140385	-1.0692842934367592	104	-0.21636238345035108	-0.24452324432825998	0.3419269079993874	0.4369066046658839
Brain	175	5043.0	6666.0	44758.0	24662.0	0.7565256525652565	1.8148568648122618	-1.3989363198172788	2.398936319817279	-0.21404781154757407	0.0	-1.9183607167297658	-1.0279670591087349	126	-0.25396703756685646	-0.244109359752354	0.6237906489011529	0.6521447693057507
Thyroid	46	2246.5	2363.4999999999995	19750.0	8165.0	0.9504971440660039	2.4188609920391917	-1.5448377274358465	2.5448377274358465	-0.22019473043943827	6.383972882259369e-182	-2.4509015954372515	-0.9202066986402524	41	-0.275184669518085	-0.24414600550964188	0.4359268021685587	0.4833892826897957
Spinal_cord	124	3842.5	4826.5	36760.0	17967.0	0.7961255568217135	2.045973173039461	-1.569912692173054	2.569912692173054	-0.22845165034958076	0.0	-2.066246552376877	-1.1315619443479594	100	-0.258421656078909	-0.24410747231218657	0.7129044129845006	0.7129044129845006
Pituitary	167	5135.333333333333	6695.666666666666	49564.0	24581.0	0.7669637078707622	2.0163540946259304	-1.6290084836265786	2.6290084836265786	-0.23441651643316969	0.0	-2.0114698778412627	-1.3109153624866212	140	-0.28184689706428834	-0.2438984024871409	0.31756368339026264	0.4369066046658839
Nerve_tibial	68	2019.0	2567.0	19070.0	8893.0	0.7865212310089599	2.144383222759474	-1.7264149246278202	2.72641492462782	-0.24171966291697616	1.5664867893222677e-211	-2.4786192778910996	-1.1774256677125814	57	-0.26643137254901955	-0.24410720051662899	0.4413554320211178	0.4833892826897957
Cerebellum	356	9622.166666666666	15023.833333333332	106553.0	56944.0	0.6404601577493538	1.8711892385501545	-1.9216325417114404	2.9216325417114404	-0.26129732158467595	0.0	-2.3425763870017953	-1.6171142786827102	267	-0.29269684290604797	-0.2433350533195735	0.0007438077103609248	0.001900841926477919
