gene	mean_ctrl	mean_dis	sd_ctrl	sd_dis	delta	sd_pool	d	cell_type
PROZ	-13.796074	-13.782097	0.06970631	0.0900925	0.013977051	0.080546975	0.1735267	classical monocyte
SHBG	-13.785986	-13.7579975	0.0975379	0.13921647	0.027988434	0.120197475	0.23285376	classical monocyte
ACE2	-13.815515	-13.814798	3.8341104e-06	0.009168914	0.0007162094	0.0064834016	0.11046816	classical monocyte
EPO	-13.813296	-13.809726	0.022062454	0.0298725	0.0035705566	0.026259456	0.13597223	classical monocyte
CCL25	-13.806712	-13.802	0.043736093	0.0650975	0.004712105	0.055455074	0.08497157	classical monocyte
IL6	-13.2926235	-13.061373	0.73984104	0.5833507	0.23125076	0.6662067	0.34711564	classical monocyte
FGFBP1	-13.814167	-13.811001	0.013399719	0.039057553	0.0031661987	0.029197987	0.10843894	classical monocyte
SERPINA10	-13.8144865	-13.811399	0.010225623	0.05243772	0.0030870438	0.03777749	0.081716485	classical monocyte
REN	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
SFRP2	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
CES5A	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
IHH	-13.813646	-13.811331	0.018591514	0.032913487	0.0023155212	0.026729591	0.08662763	classical monocyte
TAC3	-13.805196	-13.798054	0.06491823	0.07591131	0.007142067	0.07062897	0.10112093	classical monocyte
UMOD	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
SEMA3E	-13.801363	-13.786081	0.05643629	0.10207353	0.015281677	0.08247442	0.1852899	classical monocyte
LEP	-13.764073	-13.795365	0.15252317	0.076363735	-0.03129196	0.12061248	-0.25944215	classical monocyte
TAC4	-13.804293	-13.811981	0.06588476	0.045011636	-0.0076885223	0.056421842	-0.13626854	classical monocyte
RNLS	-13.14027	-13.005707	0.43366876	0.36360395	0.13456345	0.40017274	0.3362634	classical monocyte
SERPINA3	-13.812792	-13.815518	0.027090155	7.653051e-06	-0.0027265549	0.019155633	-0.14233698	classical monocyte
PRSS1	-13.8126	-13.808975	0.02899379	0.059019927	0.003624916	0.046497267	0.07795977	classical monocyte
IGLC3	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
IGHA2	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
IGHG2	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
IGHA1	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
IGHG1	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
C4B	-13.815515	-13.813178	3.8341104e-06	0.021131674	0.002336502	0.01494235	0.15636778	classical monocyte
ERVMER34-1	-13.800213	-13.815518	0.08890551	7.653051e-06	-0.015305519	0.06286569	-0.24346378	classical monocyte
IGKV3-20	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
IGKV3-11	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
CFB	-13.770802	-13.699014	0.15389384	0.2126005	0.071787834	0.18558325	0.38682282	classical monocyte
IGKV3-15	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
C4A	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
GDF2	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
