gene,epi_mean,epi_detection,caf_mean,immune_mean,endothelial_mean,tme_max_mean,log2fc_mean,log2fc_sd,n_datasets,n_datasets_reproducible,consensus_fraction
EPHB3,0.0791444402,0.04169518765204246,0.1455026636,0.01100322156,0.07525752960000001,0.1589419236,-0.6185505716087846,0.5723935853976326,5,0,0.0
EPHB4,0.5452245994,0.16264680938827783,0.18161669200000002,0.03290962754,1.6728592939999998,1.6728592939999998,-1.8532616941414954,0.4797130350633643,5,0,0.0
EPHB6,0.0341546826,0.01641086801139184,0.0565855942,0.14643105399999998,0.009778164919999999,0.14643105399999998,-1.0557234053480835,0.9214206906705511,5,0,0.0
EPOR,0.0607715464,0.0357598926562859,0.062650597,0.13028857600000002,0.0534643604,0.13310522,-0.49850156883706553,0.7197081721791297,5,0,0.0
EQTN,0.00128563863,0.0006092314888181801,0.0008612342800000001,0.0038847668280000006,0.0,0.004651646868,-0.08478462469392656,0.11548829674397568,5,0,0.0
ERBB2,0.849033726,0.2641301956072768,0.20221354800000002,0.053181630599999995,0.1398072196,0.209040522,1.7643467210639325,0.43492294288168,5,5,1.0
ERBB3,1.259194732,0.3253037960263506,0.0193446804,0.0247491034,0.016810128,0.027436500200000002,3.8629972589388215,0.9830203663414809,5,5,1.0
ERBB4,0.140898455,0.050848526828835436,0.01722226986,0.00646432732,0.0005640990800000001,0.017760675240000003,1.1455590850835766,0.6605551817033607,5,1,0.2
EREG,0.8431085725999999,0.09406520198032586,0.0330431736,0.513228376,0.07439438400000001,0.513228376,0.30604268447074373,1.2640595927576346,5,2,0.4
ERMAP,0.07957097760000001,0.03933827238186024,0.0489852672,0.0550545692,0.0247445744,0.07913057180000001,-0.0860587795702129,0.4168860345844128,5,0,0.0
ERMP1,0.132577878,0.06733670044566145,0.039871652800000004,0.1528354328,0.14801571,0.21630380000000002,-0.4117316694546602,0.4147897487787072,5,0,0.0
ERVFRD-1,5.3066836e-06,7.968127490038e-05,0.0,0.00661365558,0.0009561594,0.00710658938,-0.1827370838945588,0.17421302352799342,5,0,0.0
ERVK13-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0
ERVMER34-1,0.03452108658,0.012557846763094859,0.014389362891000002,0.00104942598,0.03296225054,0.037022838200000005,-0.1338976207362137,0.9625283705840035,5,0,0.0
ERVV-1,0.00041089031,0.00064106861589586,0.0,0.0,0.0,0.0,0.011658043847723957,0.023124267438612744,5,0,0.0
ERVV-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0
ERVW-1,0.011658169159999999,0.006779837196150359,0.002321833346,0.002463239212,0.00035591424,0.004274721560000001,0.162761701902327,0.2144094285353868,5,0,0.0
ESAM,0.129017526,0.05404058635187502,0.20269523720000002,0.011003789279999999,4.61835158,4.61835158,-4.702537990030527,0.47599694953919447,5,0,0.0
ESYT3,0.1730843734,0.07045322462888323,0.00560055668,0.00533001502,0.009430172359999999,0.01626432584,1.55197125891751,0.749688901129529,5,1,0.2
EVA1C,0.43836305,0.16773204546767767,0.31741367,0.10433776399999999,0.8829819779999999,0.8829819779999999,-0.9415329933208042,0.5938985089445503,5,0,0.0
EVC2,0.05783400298,0.029000981476322563,0.148171927,0.07749910039999999,0.1210339286,0.1530112126,-0.9166421112912397,0.18865143003019816,5,0,0.0
EVI2A,0.0426466276,0.01448293908931832,0.267587276,1.4489741200000001,0.046516303999999994,1.4489741200000001,-4.013577671013893,0.2527687860176503,5,0,0.0
EVI2B,0.0826473442,0.01855327934776288,0.162060087,2.56283688,0.12920103379999998,2.56283688,-4.453758960176966,0.5973016564131949,5,0,0.0
F11R,1.287420668,0.35130877180626324,0.09122238540000001,0.23299422600000003,0.69923562,0.69923562,0.7885387955730822,0.456232271860532,5,4,0.8
F2R,0.0671523376,0.020907392168570422,1.2928764400000001,0.344381094,0.9831958540000001,1.30349404,-3.521699181170285,0.8092731179521357,5,0,0.0
F2RL1,0.253343519,0.08679006266974938,0.1958609154,0.01457359268,0.0035804636,0.1958609154,0.38452662770454793,1.324037385768148,5,1,0.2
F2RL2,0.00482025026,0.00089987517521292,0.0344971402,0.00429999628,0.0021780435486,0.03574698248,-0.5582336742086484,0.6582959066082751,5,0,0.0
F2RL3,0.01299042852,0.0056514153145708805,0.002054465268,0.0017562566,1.54121208,1.54121208,-4.355520270564349,0.8726706518464125,5,0,0.0
F3,3.2843821500000003,0.32301200489233695,1.064391268,0.0547732898,0.188936865,1.064391268,0.9045871314589246,1.03384827855944,5,3,0.6
FAIM2,0.016252949824000003,0.0056955187179308,0.072818527,0.0196574526,0.00081560344,0.0786385518,-0.9905089923180597,0.5627334590824581,5,0,0.0
FAM171A1,0.141012728,0.05166938737867795,0.13185343,0.012165522199999999,0.425824144,0.425824144,-1.608640415159524,1.1878865620619832,5,0,0.0
FAM171A2,0.042221550399999995,0.01673252596106582,0.1059034629,0.005215840859999999,0.0341069626,0.11771217640000001,-0.38295757765499466,0.91963717688616,5,0,0.0
FAM171B,0.035649604200000004,0.02033312771503868,0.0916606608,0.00872892614,0.142661332,0.16490881599999999,-1.279004254953179,0.28106785955483876,5,0,0.0
FAM174A,0.525665214,0.19505023331183416,0.301817108,0.16582694,0.47543155400000003,0.5463984180000001,-0.0315209777032391,0.2258000397061825,5,0,0.0
FAM174B,0.366499414,0.14758583288263274,0.08619958280000001,0.066067013,0.5148743527999999,0.5148743527999999,0.04374177993354844,1.185816168613694,5,0,0.0
FAM187B,0.000691156892,0.0006163871862032799,0.0,0.001926746654,0.03196525,0.032142795254,-0.39956763303325016,0.9339257940665878,5,0,0.0
FAP,0.044570633400000004,0.0216324165869485,2.13841822,0.01585316962,0.086352251,2.13841822,-4.409757950346835,0.7129330604063732,5,0,0.0
FAS,0.202308932,0.07949399846762137,0.381639874,0.5797497500000001,0.10433359059999998,0.5951240120000001,-1.2500338611287762,0.9228344751627326,5,0,0.0
FASLG,0.0062427351300000005,0.00423937148567366,0.0044739370799999996,0.37901573499999996,0.030611248410000003,0.37901573499999996,-2.6793683672008406,0.7927413814802138,5,0,0.0
FAT1,0.8328788360000001,0.17451219146622446,0.56598399,0.0233036176,0.09157910799999999,0.56598399,-0.1533323984773301,0.9065909961303381,5,1,0.2
FAT2,0.008880702,0.00523349853617518,0.0,0.0005828715800000001,0.000189242812,0.0007721143919999999,0.19290336601924157,0.2607567775803109,5,0,0.0
FAT3,0.0086241797,0.00115935876807684,0.052146057,0.001203723446,0.0008203778636000001,0.052146057,-0.6307304207941945,0.8980709780173506,5,0,0.0
