smiles_std,molecule_chembl_id,standard_type,value_nM,pActivity,n_measurements,MW,n_documents,scaffold,dataset
O=c1[nH]c(Nc2cc(F)cc(F)c2)nc2cc([N+](=O)[O-])ccc12,CHEMBL4754588,IC50,8500.0,5.070581074285707,1,318.2390000000001,1,O=c1[nH]c(Nc2ccccc2)nc2ccccc12,MERS_cell_antiviral
Nc1ncnc2c([C@@H]3N[C@H](CO)[C@@H](O)[C@H]3O)n[nH]c12,CHEMBL5270241,EC50,9250.0,5.034933177079441,2,266.261,1,c1ncc2[nH]nc(C3CCCN3)c2n1,MERS_cell_antiviral
CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,CHEMBL565612,EC50,9700.0,5.013228265733755,1,438.49100000000027,1,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1nc(N2CCNCC2)nc2ccccc12,MERS_cell_antiviral
CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,CHEMBL1085,EC50,11200.0,4.950781977329818,1,411.5710000000001,1,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1,MERS_cell_antiviral
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,CHEMBL1642,EC50,13415.0,4.894642815579969,4,493.6150000000002,2,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(CN2CCNCC2)cc1,MERS_cell_antiviral
CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1N[C@@H](c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CHEMBL5276564,EC50,13000.0,4.886056647693163,1,534.5100000000002,1,O=[PH](OCC1CCC(c2ccc3cncnn23)N1)Oc1ccccc1,MERS_cell_antiviral
OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,CHEMBL896,EC50,14400.0,4.841637507904751,1,374.91200000000015,1,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,MERS_cell_antiviral
Fc1ccc(Nc2ncnc3ccc(NC4CCCCC4)cc23)cc1Cl,CHEMBL4744542,IC50,15000.0,4.823908740944319,1,370.85900000000015,1,c1ccc(Nc2ncnc3ccc(NC4CCCCC4)cc23)cc1,MERS_cell_antiviral
CC(=O)c1c(NCc2ccc(F)cc2)[nH]c2c(F)cc(F)cc2c1=O,CHEMBL4452847,IC50,17600.0,4.7544873321858505,1,346.30800000000005,1,O=c1cc(NCc2ccccc2)[nH]c2ccccc12,MERS_cell_antiviral
COc1cccc(CNc2ccc3ncnc(Nc4ccc(F)cc4)c3c2)c1,CHEMBL4749703,IC50,22700.0,4.6439741428068775,1,374.4190000000001,1,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,MERS_cell_antiviral
COc1nc(N)ncc1-c1cn(COCCO)cn1,CHEMBL3596788,EC50,25000.0,4.60345419991171,2,265.27299999999997,1,c1ncc(-c2c[nH]cn2)cn1,MERS_cell_antiviral
CN(C)Cc1c[nH]c2ccc(OCc3ccccc3)cc12,CHEMBL4451818,EC50,32100.0,4.493494967595128,1,280.371,1,c1ccc(COc2ccc3[nH]ccc3c2)cc1,MERS_cell_antiviral
CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@H](OC(C)(C)C)C[C@H]1C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,CHEMBL5402990,EC50,33560.0,4.4741780478433375,1,524.6590000000003,1,O=C1NCCC1CCNC(=O)C1CCCN1,MERS_cell_antiviral
COc1ccc(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,CHEMBL211045,EC50,36900.0,4.432973633840939,1,581.5000000000002,1,O=C1CN(C(=O)N2C(c3ccccc3)=NC(c3ccccc3)C2c2ccccc2)CCN1,MERS_cell_antiviral
Nc1ncnc2c([C@@H]3N[C@H](CO)[C@@H](O)[C@H]3O)c[nH]c12,CHEMBL1236524,EC50,68400.0,4.164943898279883,5,265.273,4,c1ncc2[nH]cc(C3CCCN3)c2n1,MERS_cell_antiviral
