smiles_std,molecule_chembl_id,standard_type,value_nM,pActivity,n_measurements,MW,n_documents,scaffold,dataset
CC(C)C[C@H](NC(=O)C(=O)Nc1ccccc1F)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COC(F)(F)F,CHEMBL5436463,IC50,76.3,7.117475462045119,1,532.4910000000004,1,O=C(CNC(=O)C(=O)Nc1ccccc1)NCCC1CCNC1=O,SARS_Mpro_train
O=C1C(Cl)=C(NCCN2CCOCC2)C(=O)c2ncccc21,CHEMBL337173,IC50,77.0,7.113509274827518,1,321.764,1,O=C1C=C(NCCN2CCOCC2)C(=O)c2ncccc21,SARS_Mpro_train
CN(C(=O)[C@H](Cc1ccccc1)NC(=O)c1cc2cc(Cl)ccc2[nH]1)N(C#N)Cc1ccc(Cl)cc1,CHEMBL5542364,IC50,77.0,7.113509274827518,1,520.4200000000002,1,O=C(NC(Cc1ccccc1)C(=O)NNCc1ccccc1)c1cc2ccccc2[nH]1,SARS_Mpro_train
CC(C)(C)NC(=O)C(=O)[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C1CC2(CCC2)C1,CHEMBL5414443,IC50,77.0,7.113509274827518,1,639.716,1,O=C1NCCC1CCNC(=O)C1C2CCCC2CN1C(=O)CC1CC2(CCC2)C1,SARS_Mpro_train
NCc1ccc(CCO)cc1,CHEMBL5429989,IC50,77.0,7.113509274827518,1,151.209,1,c1ccccc1,SARS_Mpro_train
COC(=O)N[C@H](C(=O)N1CC2(CCCCC2)C[C@H]1C(=O)N[C@@H](CCC(C)(F)F)C(=O)C(=O)NC1CCCCC1)C(C)(C)C,CHEMBL5574888,IC50,77.0,7.113509274827518,1,612.7589999999998,1,O=C(CNC(=O)C1CC2(CCCCC2)CN1)C(=O)NC1CCCCC1,SARS_Mpro_train
CC(C)[C@](C)(NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(C)(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,CHEMBL5169820,IC50,77.0,7.113509274827518,1,530.6660000000003,1,O=C(CNC(=O)CNC(=O)OCc1ccccc1)NCCC1CCNC1=O,SARS_Mpro_train
O=C1NC2(CC(c3ccccc3Cl)C2)C(=O)N1c1cncc2ccccc12,CHEMBL5395482,IC50,77.0,7.113509274827518,4,377.8310000000001,4,O=C1NC2(CC(c3ccccc3)C2)C(=O)N1c1cncc2ccccc12,SARS_Mpro_train
CSc1nc2cc3c(cc2n1C(=O)c1ccc(C)cc1)OCO3,CHEMBL5614072,IC50,77.555,7.112460684735114,4,326.37700000000007,1,O=C(c1ccccc1)n1cnc2cc3c(cc21)OCO3,SARS_Mpro_train
COc1cccc(C(=O)Oc2cncc(Br)c2)c1OC,CHEMBL5596420,IC50,78.2,7.106793246940152,1,338.15700000000004,1,O=C(Oc1cccnc1)c1ccccc1,SARS_Mpro_train
