held_out,compound,method,n_sources,repro_r,source_repro_r,reproducible,source_reproducible,transfer_efficiency,pearson_delta,mae,top50_overlap,sign_match
MIA PaCa-2,Sivelestat (sodium tetrahydrate),weighted_consensus,49,-0.09298136830329895,-0.05472472667389987,False,False,,0.8006618022918701,0.09639503806829453,0.56,0.92
MIA PaCa-2,Sivelestat (sodium tetrahydrate),unweighted_consensus,49,-0.09298136830329895,-0.05472472667389987,False,False,,0.799695611000061,0.09698896110057831,0.56,0.92
MIA PaCa-2,Sivelestat (sodium tetrahydrate),generic_response,49,-0.09298136830329895,-0.05472472667389987,False,False,,0.4788660407066345,0.1489817500114441,0.36,0.86
MIA PaCa-2,Sivelestat (sodium tetrahydrate),shuffled_compound,49,-0.09298136830329895,-0.05472472667389987,False,False,,0.010270573198795319,0.20690517127513885,0.12,0.56
MIA PaCa-2,Sivelestat (sodium tetrahydrate),no_change,49,-0.09298136830329895,-0.05472472667389987,False,False,,0.0,0.16325661540031433,0.02,0.0
MIA PaCa-2,Talc,weighted_consensus_gated,49,0.24994073808193207,0.22533543892584892,False,False,2.6763911251726635,0.6689391732215881,0.1408136934041977,0.16,0.66
MIA PaCa-2,Talc,weighted_consensus,49,0.24994073808193207,0.22533543892584892,False,False,2.829232684277616,0.7071405053138733,0.10907377302646637,0.3,0.66
MIA PaCa-2,Talc,unweighted_consensus,49,0.24994073808193207,0.22533543892584892,False,False,2.829064082375503,0.7070983648300171,0.11052379012107849,0.3,0.66
MIA PaCa-2,Talc,generic_response,49,0.24994073808193207,0.22533543892584892,False,False,1.4918721422856969,0.37287962436676025,0.15669426321983337,0.14,0.74
MIA PaCa-2,Talc,shuffled_compound,49,0.24994073808193207,0.22533543892584892,False,False,1.9793150267518396,0.4947114586830139,0.1601150929927826,0.06,0.72
MIA PaCa-2,Talc,no_change,49,0.24994073808193207,0.22533543892584892,False,False,0.0,0.0,0.1629880964756012,0.02,0.0
MIA PaCa-2,Terfenadine,weighted_consensus_gated,49,0.3485463857650757,0.41605398097696406,True,True,1.6357041937274504,0.57011878490448,0.2086745947599411,0.12,0.8
MIA PaCa-2,Terfenadine,weighted_consensus,49,0.3485463857650757,0.41605398097696406,True,True,1.7743150311288078,0.6184310913085938,0.17389927804470062,0.2,0.8
MIA PaCa-2,Terfenadine,unweighted_consensus,49,0.3485463857650757,0.41605398097696406,True,True,1.7479643917766456,0.6092466711997986,0.17594000697135925,0.2,0.8
MIA PaCa-2,Terfenadine,generic_response,49,0.3485463857650757,0.41605398097696406,True,True,0.8688990323956441,0.3028516173362732,0.21858343482017517,0.08,0.7
MIA PaCa-2,Terfenadine,shuffled_compound,49,0.3485463857650757,0.41605398097696406,True,True,0.817268698917409,0.28485605120658875,0.2321508824825287,0.06,0.56
MIA PaCa-2,Terfenadine,no_change,49,0.3485463857650757,0.41605398097696406,True,True,0.0,0.0,0.23169007897377014,0.0,0.0
MIA PaCa-2,Tirabrutinib (hydrochloride),weighted_consensus_gated,49,0.40792104601860046,0.29336337242465543,True,False,1.6772030717821929,0.684166431427002,0.15412399172782898,0.22,0.92
MIA PaCa-2,Tirabrutinib (hydrochloride),weighted_consensus,49,0.40792104601860046,0.29336337242465543,True,False,1.8903424635466413,0.771110475063324,0.1042976975440979,0.3,0.92
MIA PaCa-2,Tirabrutinib (hydrochloride),unweighted_consensus,49,0.40792104601860046,0.29336337242465543,True,False,1.855636932779614,0.7569533586502075,0.10740874707698822,0.28,0.9
MIA PaCa-2,Tirabrutinib (hydrochloride),generic_response,49,0.40792104601860046,0.29336337242465543,True,False,1.3821880146781467,0.5638235807418823,0.15303055942058563,0.2,0.78
MIA PaCa-2,Tirabrutinib (hydrochloride),shuffled_compound,49,0.40792104601860046,0.29336337242465543,True,False,1.0956337795511968,0.4469320774078369,0.16715331375598907,0.1,0.72
MIA PaCa-2,Tirabrutinib (hydrochloride),no_change,49,0.40792104601860046,0.29336337242465543,True,False,0.0,0.0,0.18403160572052002,0.04,0.0
NCI-H1573,Allantoin,weighted_consensus_gated,49,0.5749248266220093,0.41087727796058265,True,True,1.16419090162828,0.6693222522735596,0.184516042470932,0.26,1.0
NCI-H1573,Allantoin,weighted_consensus,49,0.5749248266220093,0.41087727796058265,True,True,1.2840445598310863,0.7382290959358215,0.1504107415676117,0.5,1.0
NCI-H1573,Allantoin,unweighted_consensus,49,0.5749248266220093,0.41087727796058265,True,True,1.3338814913020787,0.7668815851211548,0.1381215751171112,0.58,1.0
NCI-H1573,Allantoin,generic_response,49,0.5749248266220093,0.41087727796058265,True,True,0.50920592292599,0.292755126953125,0.20110392570495605,0.14,0.64
NCI-H1573,Allantoin,shuffled_compound,49,0.5749248266220093,0.41087727796058265,True,True,0.5819507221813632,0.33457791805267334,0.21242430806159973,0.06,0.82
NCI-H1573,Allantoin,no_change,49,0.5749248266220093,0.41087727796058265,True,True,0.0,0.0,0.21708735823631287,0.04,0.0
NCI-H1573,Altretamine,weighted_consensus_gated,49,0.23636654019355774,0.2131637853323197,False,False,2.300799443207759,0.543832004070282,0.14617915451526642,0.08,0.9
NCI-H1573,Altretamine,weighted_consensus,49,0.23636654019355774,0.2131637853323197,False,False,2.5910619462889657,0.6124403476715088,0.13728304207324982,0.24,0.9
NCI-H1573,Altretamine,unweighted_consensus,49,0.23636654019355774,0.2131637853323197,False,False,2.828297049165032,0.6685147881507874,0.12004948407411575,0.28,0.86
NCI-H1573,Altretamine,generic_response,49,0.23636654019355774,0.2131637853323197,False,False,1.3909034571931291,0.32876303791999817,0.1603517383337021,0.12,0.84
NCI-H1573,Altretamine,shuffled_compound,49,0.23636654019355774,0.2131637853323197,False,False,-0.3519365741012174,-0.08318603038787842,0.2536366581916809,0.18,0.54
NCI-H1573,Altretamine,no_change,49,0.23636654019355774,0.2131637853323197,False,False,0.0,0.0,0.16352562606334686,0.02,0.0
NCI-H1573,Amsacrine,weighted_consensus_gated,49,0.5792203545570374,0.49912555242071344,True,True,1.0306678377250595,0.596983790397644,0.16057896614074707,0.28,0.98
NCI-H1573,Amsacrine,weighted_consensus,49,0.5792203545570374,0.49912555242071344,True,True,1.1301061310257927,0.6545804738998413,0.14487874507904053,0.52,0.98
NCI-H1573,Amsacrine,unweighted_consensus,49,0.5792203545570374,0.49912555242071344,True,True,1.1504839877316713,0.6663837432861328,0.13611912727355957,0.52,0.96
NCI-H1573,Amsacrine,generic_response,49,0.5792203545570374,0.49912555242071344,True,True,0.791512656537732,0.4584602415561676,0.16601797938346863,0.3,0.9
NCI-H1573,Amsacrine,shuffled_compound,49,0.5792203545570374,0.49912555242071344,True,True,0.5707812698574406,0.3306081295013428,0.19890953600406647,0.28,0.8
NCI-H1573,Amsacrine,no_change,49,0.5792203545570374,0.49912555242071344,True,True,0.0,0.0,0.1854766607284546,0.04,0.0
NCI-H1573,Anethole trithione,weighted_consensus_gated,49,0.6421777606010437,0.4818105845503053,True,True,1.1325810252595263,0.7273183465003967,0.18400508165359497,0.26,1.0
NCI-H1573,Anethole trithione,weighted_consensus,49,0.6421777606010437,0.4818105845503053,True,True,1.2439227748770065,0.7988195419311523,0.1345330774784088,0.56,1.0
NCI-H1573,Anethole trithione,unweighted_consensus,49,0.6421777606010437,0.4818105845503053,True,True,1.2911758959453608,0.829164445400238,0.11992152035236359,0.62,1.0
NCI-H1573,Anethole trithione,generic_response,49,0.6421777606010437,0.4818105845503053,True,True,0.7256494017285203,0.4659959077835083,0.19722580909729004,0.28,1.0
NCI-H1573,Anethole trithione,shuffled_compound,49,0.6421777606010437,0.4818105845503053,True,True,0.05187620284287432,0.03331374377012253,0.26345694065093994,0.16,0.76
NCI-H1573,Anethole trithione,no_change,49,0.6421777606010437,0.4818105845503053,True,True,0.0,0.0,0.21861739456653595,0.02,0.0
NCI-H1573,Aprepitant,weighted_consensus_gated,49,0.35614657402038574,0.27911079484893353,True,False,1.776556497010618,0.6327145099639893,0.1782580465078354,0.22,0.92
