cell_line,drug,conc,shard,key,extracted
A549,Osimertinib (mesylate),5.0,17,A549	Osimertinib (mesylate)	5.0,True
A549,Pentoxifylline,5.0,17,A549	Pentoxifylline	5.0,True
A549,Talc,5.0,17,A549	Talc	5.0,True
A549,Tirabrutinib (hydrochloride),5.0,17,A549	Tirabrutinib (hydrochloride)	5.0,True
A549,Carbidopa (monohydrate),0.05,17,A549	Carbidopa (monohydrate)	0.05,True
A549,Carbidopa (monohydrate),0.5,17,A549	Carbidopa (monohydrate)	0.5,True
A549,Carbidopa (monohydrate),5.0,17,A549	Carbidopa (monohydrate)	5.0,True
A549,Larotrectinib sulfate,0.05,18,A549	Larotrectinib sulfate	0.05,True
A549,Larotrectinib sulfate,0.5,18,A549	Larotrectinib sulfate	0.5,True
A549,Larotrectinib sulfate,5.0,18,A549	Larotrectinib sulfate	5.0,True
A549,Ribociclib,0.05,18,A549	Ribociclib	0.05,True
A549,Ribociclib,0.5,18,A549	Ribociclib	0.5,True
A549,Ribociclib,5.0,18,A549	Ribociclib	5.0,True
COLO 205,BI-3406,0.05,20,COLO 205	BI-3406	0.05,True
COLO 205,Bortezomib,0.05,20,COLO 205	Bortezomib	0.05,True
COLO 205,Celecoxib,0.05,20,COLO 205	Celecoxib	0.05,True
COLO 205,DT-061,0.05,20,COLO 205	DT-061	0.05,True
COLO 205,Everolimus,0.05,21,COLO 205	Everolimus	0.05,True
COLO 205,GSK1059615,0.05,21,COLO 205	GSK1059615	0.05,True
COLO 205,Gemcitabine,0.05,21,COLO 205	Gemcitabine	0.05,True
COLO 205,Hydroxyfasudil,0.05,21,COLO 205	Hydroxyfasudil	0.05,True
COLO 205,IQ 1,0.05,21,COLO 205	IQ 1	0.05,True
COLO 205,LJI308,0.05,21,COLO 205	LJI308	0.05,True
COLO 205,PH-797804,0.05,21,COLO 205	PH-797804	0.05,True
COLO 205,Ralimetinib dimesylate,0.05,21,COLO 205	Ralimetinib dimesylate	0.05,True
COLO 205,BI-3406,0.5,22,COLO 205	BI-3406	0.5,True
COLO 205,Bortezomib,0.5,22,COLO 205	Bortezomib	0.5,True
COLO 205,Celecoxib,0.5,22,COLO 205	Celecoxib	0.5,True
COLO 205,DT-061,0.5,22,COLO 205	DT-061	0.5,True
COLO 205,Everolimus,0.5,22,COLO 205	Everolimus	0.5,True
COLO 205,GSK1059615,0.5,22,COLO 205	GSK1059615	0.5,True
COLO 205,Gemcitabine,0.5,22,COLO 205	Gemcitabine	0.5,True
COLO 205,Hydroxyfasudil,0.5,22,COLO 205	Hydroxyfasudil	0.5,True
COLO 205,IQ 1,0.5,22,COLO 205	IQ 1	0.5,True
COLO 205,LJI308,0.5,22,COLO 205	LJI308	0.5,True
COLO 205,PH-797804,0.5,22,COLO 205	PH-797804	0.5,True
COLO 205,Ralimetinib dimesylate,0.5,23,COLO 205	Ralimetinib dimesylate	0.5,True
COLO 205,BI-3406,5.0,23,COLO 205	BI-3406	5.0,True
COLO 205,Bortezomib,5.0,23,COLO 205	Bortezomib	5.0,True
COLO 205,Celecoxib,5.0,23,COLO 205	Celecoxib	5.0,True
COLO 205,DT-061,5.0,23,COLO 205	DT-061	5.0,True
COLO 205,Everolimus,5.0,23,COLO 205	Everolimus	5.0,True
COLO 205,GSK1059615,5.0,24,COLO 205	GSK1059615	5.0,True
COLO 205,Gemcitabine,5.0,24,COLO 205	Gemcitabine	5.0,True
COLO 205,Hydroxyfasudil,5.0,24,COLO 205	Hydroxyfasudil	5.0,True
COLO 205,IQ 1,5.0,24,COLO 205	IQ 1	5.0,True
COLO 205,LJI308,5.0,24,COLO 205	LJI308	5.0,True
COLO 205,PH-797804,5.0,24,COLO 205	PH-797804	5.0,True
COLO 205,Ralimetinib dimesylate,5.0,24,COLO 205	Ralimetinib dimesylate	5.0,True
COLO 205,Allantoin,0.05,24,COLO 205	Allantoin	0.05,True
COLO 205,Amsacrine,0.05,25,COLO 205	Amsacrine	0.05,True
COLO 205,Anethole trithione,0.05,25,COLO 205	Anethole trithione	0.05,True
COLO 205,Bimatoprost,0.05,25,COLO 205	Bimatoprost	0.05,True
COLO 205,Elagolix sodium,0.05,25,COLO 205	Elagolix sodium	0.05,True
COLO 205,Furosemide,0.05,25,COLO 205	Furosemide	0.05,True
COLO 205,Megestrol,0.05,25,COLO 205	Megestrol	0.05,True
COLO 205,Pentamidine (isethionate),0.05,25,COLO 205	Pentamidine (isethionate)	0.05,True
COLO 205,Quinestrol,0.05,25,COLO 205	Quinestrol	0.05,True
COLO 205,Rapamycin,0.05,25,COLO 205	Rapamycin	0.05,True
COLO 205,S-Adenosyl-L-methionine (disulfate tosylate),0.05,26,COLO 205	S-Adenosyl-L-methionine (disulfate tosylate)	0.05,True
COLO 205,Terfenadine,0.05,26,COLO 205	Terfenadine	0.05,True
COLO 205,Allantoin,0.5,26,COLO 205	Allantoin	0.5,True
COLO 205,Amsacrine,0.5,26,COLO 205	Amsacrine	0.5,True
COLO 205,Anethole trithione,0.5,26,COLO 205	Anethole trithione	0.5,True
COLO 205,Bimatoprost,0.5,26,COLO 205	Bimatoprost	0.5,True
COLO 205,Elagolix sodium,0.5,26,COLO 205	Elagolix sodium	0.5,True
COLO 205,Furosemide,0.5,26,COLO 205	Furosemide	0.5,True
COLO 205,Megestrol,0.5,27,COLO 205	Megestrol	0.5,True
COLO 205,Pentamidine (isethionate),0.5,27,COLO 205	Pentamidine (isethionate)	0.5,True
COLO 205,Quinestrol,0.5,27,COLO 205	Quinestrol	0.5,True
COLO 205,Rapamycin,0.5,27,COLO 205	Rapamycin	0.5,True
COLO 205,S-Adenosyl-L-methionine (disulfate tosylate),0.5,27,COLO 205	S-Adenosyl-L-methionine (disulfate tosylate)	0.5,True
COLO 205,Terfenadine,0.5,27,COLO 205	Terfenadine	0.5,True
COLO 205,Allantoin,5.0,27,COLO 205	Allantoin	5.0,True
COLO 205,Amsacrine,5.0,27,COLO 205	Amsacrine	5.0,True
COLO 205,Anethole trithione,5.0,28,COLO 205	Anethole trithione	5.0,True
COLO 205,Bimatoprost,5.0,28,COLO 205	Bimatoprost	5.0,True
COLO 205,Elagolix sodium,5.0,28,COLO 205	Elagolix sodium	5.0,True
COLO 205,Furosemide,5.0,28,COLO 205	Furosemide	5.0,True
COLO 205,Megestrol,5.0,28,COLO 205	Megestrol	5.0,True
COLO 205,Pentamidine (isethionate),5.0,28,COLO 205	Pentamidine (isethionate)	5.0,True
COLO 205,Quinestrol,5.0,28,COLO 205	Quinestrol	5.0,True
COLO 205,Rapamycin,5.0,28,COLO 205	Rapamycin	5.0,True
COLO 205,S-Adenosyl-L-methionine (disulfate tosylate),5.0,28,COLO 205	S-Adenosyl-L-methionine (disulfate tosylate)	5.0,True
COLO 205,Terfenadine,5.0,29,COLO 205	Terfenadine	5.0,True
COLO 205,Altretamine,0.05,29,COLO 205	Altretamine	0.05,True
COLO 205,Betamethasone dipropionate,0.05,29,COLO 205	Betamethasone dipropionate	0.05,True
COLO 205,Fenofibrate,0.05,29,COLO 205	Fenofibrate	0.05,True
COLO 205,Mozavaptan,0.05,30,COLO 205	Mozavaptan	0.05,True
COLO 205,Nevirapine,0.05,30,COLO 205	Nevirapine	0.05,True
COLO 205,Pemetrexed,0.05,30,COLO 205	Pemetrexed	0.05,True
COLO 205,Pitavastatin (Calcium),0.05,30,COLO 205	Pitavastatin (Calcium)	0.05,True
COLO 205,Pravastatin (sodium),0.05,30,COLO 205	Pravastatin (sodium)	0.05,True
COLO 205,Rifaximin,0.05,30,COLO 205	Rifaximin	0.05,True
COLO 205,Sivelestat (sodium tetrahydrate),0.05,30,COLO 205	Sivelestat (sodium tetrahydrate)	0.05,True
COLO 205,Altretamine,0.5,30,COLO 205	Altretamine	0.5,True
COLO 205,Betamethasone dipropionate,0.5,30,COLO 205	Betamethasone dipropionate	0.5,True
COLO 205,Fenofibrate,0.5,31,COLO 205	Fenofibrate	0.5,True
COLO 205,Mozavaptan,0.5,31,COLO 205	Mozavaptan	0.5,True
COLO 205,Nevirapine,0.5,31,COLO 205	Nevirapine	0.5,True
COLO 205,Pemetrexed,0.5,31,COLO 205	Pemetrexed	0.5,True
COLO 205,Pitavastatin (Calcium),0.5,31,COLO 205	Pitavastatin (Calcium)	0.5,True
COLO 205,Pravastatin (sodium),0.5,31,COLO 205	Pravastatin (sodium)	0.5,True
COLO 205,Rifaximin,0.5,31,COLO 205	Rifaximin	0.5,True
COLO 205,Sivelestat (sodium tetrahydrate),0.5,32,COLO 205	Sivelestat (sodium tetrahydrate)	0.5,True
COLO 205,Altretamine,5.0,32,COLO 205	Altretamine	5.0,True
COLO 205,Betamethasone dipropionate,5.0,32,COLO 205	Betamethasone dipropionate	5.0,True
COLO 205,Fenofibrate,5.0,32,COLO 205	Fenofibrate	5.0,True
COLO 205,Mozavaptan,5.0,33,COLO 205	Mozavaptan	5.0,True
COLO 205,Nevirapine,5.0,33,COLO 205	Nevirapine	5.0,True
COLO 205,Pemetrexed,5.0,33,COLO 205	Pemetrexed	5.0,True
COLO 205,Pitavastatin (Calcium),5.0,33,COLO 205	Pitavastatin (Calcium)	5.0,True
COLO 205,Pravastatin (sodium),5.0,33,COLO 205	Pravastatin (sodium)	5.0,True
COLO 205,Rifaximin,5.0,33,COLO 205	Rifaximin	5.0,True
COLO 205,Sivelestat (sodium tetrahydrate),5.0,33,COLO 205	Sivelestat (sodium tetrahydrate)	5.0,True
COLO 205,Aprepitant,0.05,33,COLO 205	Aprepitant	0.05,True
COLO 205,Benztropine (mesylate),0.05,33,COLO 205	Benztropine (mesylate)	0.05,True
COLO 205,Econazole,0.05,34,COLO 205	Econazole	0.05,True
COLO 205,Estrone sulfate (potassium),0.05,34,COLO 205	Estrone sulfate (potassium)	0.05,True
COLO 205,Fulvestrant,0.05,34,COLO 205	Fulvestrant	0.05,True
COLO 205,Idoxuridine,0.05,34,COLO 205	Idoxuridine	0.05,True
COLO 205,Loperamide (hydrochloride),0.05,34,COLO 205	Loperamide (hydrochloride)	0.05,True
COLO 205,Lopinavir,0.05,34,COLO 205	Lopinavir	0.05,True
COLO 205,Neratinib,0.05,34,COLO 205	Neratinib	0.05,True
COLO 205,Osimertinib (mesylate),0.05,34,COLO 205	Osimertinib (mesylate)	0.05,True
COLO 205,Pentoxifylline,0.05,34,COLO 205	Pentoxifylline	0.05,True
COLO 205,Talc,0.05,35,COLO 205	Talc	0.05,True
COLO 205,Tirabrutinib (hydrochloride),0.05,35,COLO 205	Tirabrutinib (hydrochloride)	0.05,True
COLO 205,Aprepitant,0.5,35,COLO 205	Aprepitant	0.5,True
COLO 205,Benztropine (mesylate),0.5,35,COLO 205	Benztropine (mesylate)	0.5,True
COLO 205,Econazole,0.5,35,COLO 205	Econazole	0.5,True
COLO 205,Estrone sulfate (potassium),0.5,35,COLO 205	Estrone sulfate (potassium)	0.5,True
COLO 205,Fulvestrant,0.5,35,COLO 205	Fulvestrant	0.5,True
COLO 205,Idoxuridine,0.5,35,COLO 205	Idoxuridine	0.5,True
COLO 205,Loperamide (hydrochloride),0.5,36,COLO 205	Loperamide (hydrochloride)	0.5,True
COLO 205,Lopinavir,0.5,36,COLO 205	Lopinavir	0.5,True
COLO 205,Neratinib,0.5,36,COLO 205	Neratinib	0.5,True
COLO 205,Osimertinib (mesylate),0.5,36,COLO 205	Osimertinib (mesylate)	0.5,True
COLO 205,Pentoxifylline,0.5,36,COLO 205	Pentoxifylline	0.5,True
COLO 205,Talc,0.5,36,COLO 205	Talc	0.5,True
COLO 205,Tirabrutinib (hydrochloride),0.5,36,COLO 205	Tirabrutinib (hydrochloride)	0.5,True
COLO 205,Aprepitant,5.0,36,COLO 205	Aprepitant	5.0,True
COLO 205,Benztropine (mesylate),5.0,36,COLO 205	Benztropine (mesylate)	5.0,True
COLO 205,Econazole,5.0,37,COLO 205	Econazole	5.0,True
COLO 205,Estrone sulfate (potassium),5.0,37,COLO 205	Estrone sulfate (potassium)	5.0,True
COLO 205,Fulvestrant,5.0,37,COLO 205	Fulvestrant	5.0,True
COLO 205,Idoxuridine,5.0,37,COLO 205	Idoxuridine	5.0,True
COLO 205,Loperamide (hydrochloride),5.0,37,COLO 205	Loperamide (hydrochloride)	5.0,True
COLO 205,Lopinavir,5.0,37,COLO 205	Lopinavir	5.0,True
COLO 205,Neratinib,5.0,37,COLO 205	Neratinib	5.0,True
COLO 205,Osimertinib (mesylate),5.0,37,COLO 205	Osimertinib (mesylate)	5.0,True
COLO 205,Pentoxifylline,5.0,37,COLO 205	Pentoxifylline	5.0,True
COLO 205,Talc,5.0,37,COLO 205	Talc	5.0,True
COLO 205,Tirabrutinib (hydrochloride),5.0,37,COLO 205	Tirabrutinib (hydrochloride)	5.0,True
COLO 205,Carbidopa (monohydrate),0.05,38,COLO 205	Carbidopa (monohydrate)	0.05,True
COLO 205,Carbidopa (monohydrate),0.5,38,COLO 205	Carbidopa (monohydrate)	0.5,True
COLO 205,Carbidopa (monohydrate),5.0,38,COLO 205	Carbidopa (monohydrate)	5.0,True
COLO 205,Larotrectinib sulfate,0.05,38,COLO 205	Larotrectinib sulfate	0.05,True
COLO 205,Larotrectinib sulfate,0.5,38,COLO 205	Larotrectinib sulfate	0.5,True
COLO 205,Larotrectinib sulfate,5.0,39,COLO 205	Larotrectinib sulfate	5.0,True
COLO 205,Ribociclib,0.05,39,COLO 205	Ribociclib	0.05,True
COLO 205,Ribociclib,0.5,39,COLO 205	Ribociclib	0.5,True
COLO 205,Ribociclib,5.0,39,COLO 205	Ribociclib	5.0,True
HT-29,BI-3406,0.05,41,HT-29	BI-3406	0.05,True
HT-29,Bortezomib,0.05,41,HT-29	Bortezomib	0.05,True
HT-29,Celecoxib,0.05,41,HT-29	Celecoxib	0.05,True
HT-29,DT-061,0.05,41,HT-29	DT-061	0.05,True
HT-29,Everolimus,0.05,41,HT-29	Everolimus	0.05,True
HT-29,GSK1059615,0.05,41,HT-29	GSK1059615	0.05,True
HT-29,Gemcitabine,0.05,41,HT-29	Gemcitabine	0.05,True
HT-29,Hydroxyfasudil,0.05,41,HT-29	Hydroxyfasudil	0.05,True
HT-29,IQ 1,0.05,41,HT-29	IQ 1	0.05,True
HT-29,LJI308,0.05,41,HT-29	LJI308	0.05,True
HT-29,PH-797804,0.05,42,HT-29	PH-797804	0.05,True
HT-29,BI-3406,0.5,42,HT-29	BI-3406	0.5,True
HT-29,Bortezomib,0.5,42,HT-29	Bortezomib	0.5,True
HT-29,Celecoxib,0.5,42,HT-29	Celecoxib	0.5,True
HT-29,DT-061,0.5,42,HT-29	DT-061	0.5,True
HT-29,Everolimus,0.5,43,HT-29	Everolimus	0.5,True
HT-29,GSK1059615,0.5,43,HT-29	GSK1059615	0.5,True
HT-29,Gemcitabine,0.5,43,HT-29	Gemcitabine	0.5,True
HT-29,Hydroxyfasudil,0.5,43,HT-29	Hydroxyfasudil	0.5,True
HT-29,IQ 1,0.5,43,HT-29	IQ 1	0.5,True
HT-29,LJI308,0.5,43,HT-29	LJI308	0.5,True
HT-29,PH-797804,0.5,43,HT-29	PH-797804	0.5,True
