cell_type,compound,split_half_r
K562,Raltitrexed,0.25909402972778867
K562,Ramelteon,0.15588864005526376
K562,Regorafenib (BAY 73-4506),0.07839726401300197
K562,Resminostat,0.12750693539367575
K562,Resveratrol,0.1224881180733926
K562,Rigosertib (ON-01910),0.11824208208783168
K562,"Roscovitine (Seliciclib,CYC202)",0.13696680557371685
K562,Roxadustat (FG-4592),0.1274812907485995
K562,"Rucaparib (AG-014699,PF-01367338) phosphate",0.11042414254721292
K562,Ruxolitinib (INCB018424),0.10913699193042072
K562,S-Ruxolitinib (INCB018424),0.10952907007574442
K562,S3I-201,0.14017707244011057
K562,SB431542,0.11398999197417922
K562,SGI-1776 free base,0.10529319412503217
K562,SL-327,0.12663589648952644
K562,SNS-314,0.14688725976136355
K562,SRT1720 HCl,0.07772927433631677
K562,SRT2104 (GSK2245840),0.14423025940263423
K562,SRT3025 HCl,0.11964625449946212
K562,Selisistat (EX 527),0.12517228171619504
K562,Sirtinol,0.12651918856851008
K562,Sodium Phenylbutyrate,0.10536342623623995
K562,Sorafenib Tosylate,0.08934157424727768
K562,Streptozotocin (STZ),0.13077279009659024
K562,TAK-901,0.18869657210430463
K562,TG101209,0.13759346544719292
K562,TGX-221,0.12329721380848377
K562,TMP195,0.11939896220040845
K562,Tacedinaline (CI994),0.11902165042128465
K562,Tanespimycin (17-AAG),0.17434820754051092
K562,Tazemetostat (EPZ-6438),0.12562552889000722
K562,"Temsirolimus (CCI-779, NSC 683864)",0.11045281351312863
K562,Thalidomide,0.10734082445467708
K562,Thiotepa,0.16127902019196327
K562,Tie2 kinase inhibitor,0.15914847526530873
K562,Tofacitinib (CP-690550) Citrate,0.1305431452076868
K562,Toremifene Citrate,0.159263958202377
K562,"Tozasertib (VX-680, MK-0457)",0.15438395891811052
K562,Trametinib (GSK1120212),0.3023672335444715
K562,Tranylcypromine (2-PCPA) HCl,0.12825673322869335
K562,Triamcinolone Acetonide,0.18302272243328827
K562,Trichostatin A (TSA),0.1169317606619036
K562,Tubastatin A HCl,0.12220777512951117
K562,Tucidinostat (Chidamide),0.15734927784161368
K562,UNC0379,0.11360204563355566
K562,UNC0631,0.11757346570319921
K562,UNC1999,0.1164832074020728
K562,Valproic acid sodium salt (Sodium valproate),0.12582189894944756
K562,Vandetanib (ZD6474),0.1309247470591872
K562,Veliparib (ABT-888),0.1473037836936476
K562,WHI-P154,0.12403431313882368
K562,WP1066,0.08422384137101159
K562,XAV-939,0.15942889306215138
K562,YM155 (Sepantronium Bromide),0.1554909363985718
K562,ZM 447439,0.18387135922607017
K562,Zileuton,0.16700985920681852
MCF7,(+)-JQ1,0.6407743326052135
MCF7,2-Methoxyestradiol (2-MeOE2),0.1848045234837069
MCF7,A-366,0.17090570517816606
MCF7,ABT-737,0.15118420865664126
MCF7,AC480 (BMS-599626),0.24855531060711844
MCF7,AG-14361,0.17833739090531098
MCF7,AG-490 (Tyrphostin B42),0.1611184164272832
MCF7,AICAR (Acadesine),0.1299447579047544
MCF7,AMG-900,0.3137598175315731
MCF7,AR-42,0.6816995724043786
MCF7,AT9283,0.25433084665249084
MCF7,AZ 960,0.28032040001008773
MCF7,AZD1480,0.29296389044650484
MCF7,Abexinostat (PCI-24781),0.8012066264058386
MCF7,Alendronate sodium trihydrate,0.2050545274023846
MCF7,Alisertib (MLN8237),0.3252083727489974
MCF7,Altretamine,0.15461531868699935
MCF7,Aminoglutethimide ,0.14700277514461357
MCF7,Amisulpride,0.1428209572791182
MCF7,Anacardic Acid,0.13829788086907535
MCF7,Andarine,0.13647511903134535
MCF7,Aurora A Inhibitor I,0.13849217348179882
MCF7,Avagacestat (BMS-708163),0.23662170243633465
MCF7,Azacitidine ,0.1549640976055106
MCF7,BMS-265246,0.3439012009888816
MCF7,BMS-536924,0.162603265331104
MCF7,BMS-754807,0.2441942394126248
MCF7,BMS-911543,0.11923553996233681
MCF7,BRD4770,0.15132547704520188
MCF7,Barasertib (AZD1152-HQPA),0.33763478168913635
MCF7,"Baricitinib (LY3009104, INCB028050)",0.16818064775642086
MCF7,Belinostat (PXD101),0.5474244352217827
MCF7,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),0.12325202869175818
MCF7,Bosutinib (SKI-606),0.25338823604536276
MCF7,Busulfan ,0.16192297793342633
MCF7,CEP-33779,0.18414064779673195
MCF7,CUDC-101,0.2762070981730429
MCF7,CUDC-907,0.7012186518356472
MCF7,CYC116,0.2453169401873711
MCF7,Capecitabine ,0.14133845010264
MCF7,Carmofur,0.14165401039198666
MCF7,Cediranib (AZD2171),0.1739350187466399
MCF7,Celecoxib,0.13519654863991312
MCF7,"Cerdulatinib (PRT062070, PRT2070)",0.20554300827193217
MCF7,Cimetidine ,0.13209565507517698
MCF7,Clevudine ,0.1458203281826142
MCF7,Costunolide,0.1479348927403047
MCF7,Crizotinib (PF-02341066),0.13780453543212204
MCF7,Curcumin,0.20172933924142072
MCF7,Cyclocytidine HCl,0.15899709147287586
MCF7,Dacinostat (LAQ824),0.8428229029931649
MCF7,Danusertib (PHA-739358),0.3136647219142361
MCF7,Daphnetin,0.16030837489312383
MCF7,Dasatinib,0.46176418487765825
MCF7,Decitabine,0.15606356667120763
MCF7,Disulfiram ,0.15298753046013397
MCF7,Divalproex Sodium,0.12727390857125048
MCF7,Droxinostat,0.13860893653708228
MCF7,EED226,0.15788001965456874
MCF7,ENMD-2076,0.316071033061944
MCF7,ENMD-2076 L-(+)-Tartaric acid ,0.2931068984906806
MCF7,Ellagic acid,0.10803918498507994
MCF7,Entacapone,0.13973328470198937
MCF7,Entinostat (MS-275),0.4996267673346712
MCF7,Enzastaurin (LY317615),0.14996389387184672
MCF7,Epothilone A,0.2702145058897142
MCF7,FLLL32,0.09412345254598445
MCF7,Fasudil (HA-1077) HCl,0.11545649968372523
MCF7,"Fedratinib (SAR302503, TG101348)",0.2830053926882155
MCF7,Filgotinib (GLPG0634),0.149444923195083
MCF7,"Fluorouracil (5-Fluoracil, 5-FU)",0.14491715093809948
MCF7,Fulvestrant,0.7022010062964921
MCF7,G007-LK,0.16615136901852723
MCF7,GSK J1,0.12835457711010256
MCF7,GSK-LSD1 2HCl,0.28015530481943957
MCF7,GSK1070916,0.3798104196929075
MCF7,Gandotinib (LY2784544),0.14408808639144838
MCF7,Givinostat (ITF2357),0.5338233820402264
MCF7,Glesatinib?(MGCD265),0.1404946500256347
MCF7,Hesperadin,0.3934176897000491
MCF7,INO-1001 (3-Aminobenzamide),0.15977169402072675
MCF7,IOX2,0.13926563713536733
MCF7,ITSA-1 (ITSA1),0.19718587888670933
MCF7,Iniparib (BSI-201),0.11462527484971927
MCF7,Ivosidenib (AG-120),0.10645314508799142
MCF7,JNJ-26854165 (Serdemetan),0.23687350598469886
MCF7,JNJ-7706621,0.18716350442452415
MCF7,KW-2449,0.2835559105705845
MCF7,Ki16425,0.11324772314456995
MCF7,Ki8751,0.15024538189190206
MCF7,Lapatinib (GW-572016) Ditosylate,0.14971242905514684
MCF7,Lenalidomide (CC-5013),0.13049307098294644
MCF7,Linifanib (ABT-869),0.11332246745061698
MCF7,Lomustine ,0.12383895288337168
MCF7,"Luminespib (AUY-922, NVP-AUY922)",0.6869427316291399
MCF7,M344,0.3573592808768045
MCF7,MC1568,0.12366798263309414
MCF7,MK-0752,0.21823299280722788
MCF7,MK-5108 (VX-689),0.21061912361670665
MCF7,MLN8054,0.32479584460112787
MCF7,Maraviroc,0.13656836910108788
MCF7,Meprednisone,0.14905690972103164
MCF7,Mercaptopurine (6-MP),0.1631712282623448
MCF7,Mesna ,0.10013360397004023
MCF7,Mocetinostat (MGCD0103),0.5908733456016301
MCF7,Momelotinib (CYT387),0.20544750520978577
MCF7,Motesanib Diphosphate (AMG-706),0.15947195526852817
MCF7,NVP-BSK805 2HCl,0.1865889106761413
MCF7,Navitoclax (ABT-263),0.16935394554376157
MCF7,Nilotinib (AMN-107),0.21686741375618362
MCF7,Nintedanib (BIBF 1120),0.2806588065211556
MCF7,Obatoclax Mesylate (GX15-070),0.20084943879001133
MCF7,Ofloxacin,0.1881317169828174
MCF7,PCI-34051,0.1651312923838705
MCF7,PD173074,0.13947619239968342
MCF7,PD98059,0.17932150066565616
MCF7,PF-3845,0.1239110102411253
MCF7,PF-573228,0.1341591828796108
MCF7,PFI-1 (PF-6405761),0.32557299629956926
MCF7,PHA-680632,0.25032399018065243
MCF7,PJ34,0.17186832894971105
MCF7,Panobinostat (LBH589),0.8742372362671521
MCF7,"Patupilone (EPO906, Epothilone B)",0.3098589411538242
MCF7,Pelitinib (EKB-569),0.2693375314672096
MCF7,Pirarubicin,0.1416603850410768
MCF7,Pracinostat (SB939),0.6815840995263482
MCF7,Prednisone ,0.1410751580291022
MCF7,Quercetin,0.15359318645519604
MCF7,Quisinostat (JNJ-26481585) 2HCl,0.9194992619186222
MCF7,RG108,0.1588138768761994
MCF7,Raltitrexed,0.5692134198657515
MCF7,Ramelteon,0.14663614538032488
MCF7,Regorafenib (BAY 73-4506),0.13553823070952226
MCF7,Resminostat,0.30604984337758734
MCF7,Resveratrol,0.1337554925738206
MCF7,Rigosertib (ON-01910),0.3126846126999507
MCF7,"Roscovitine (Seliciclib,CYC202)",0.10611828431999507
MCF7,Roxadustat (FG-4592),0.08951683119841677
MCF7,"Rucaparib (AG-014699,PF-01367338) phosphate",0.12564071615144023
MCF7,Ruxolitinib (INCB018424),0.20425047732431062
MCF7,S-Ruxolitinib (INCB018424),0.20276137357810325
MCF7,S3I-201,0.1360114474792301
MCF7,SB431542,0.20721410415160504
MCF7,SGI-1776 free base,0.16982473115514837
MCF7,SL-327,0.24993968796606292
MCF7,SNS-314,0.24537769076125204
MCF7,SRT1720 HCl,0.1356010004640086
MCF7,SRT2104 (GSK2245840),0.20366051374066643
MCF7,SRT3025 HCl,0.13453311643030275
MCF7,Selisistat (EX 527),0.1232132757188443
MCF7,Sirtinol,0.18003365529784382
MCF7,Sodium Phenylbutyrate,0.135028581373552
MCF7,Sorafenib Tosylate,0.11965918055234266
MCF7,Streptozotocin (STZ),0.1303902075244217
MCF7,TAK-901,0.4519669715383049
MCF7,TG101209,0.33024489416748226
MCF7,TGX-221,0.16646410716675275
MCF7,TMP195,0.08991195201481489
MCF7,Tacedinaline (CI994),0.38524502431654023
MCF7,Tanespimycin (17-AAG),0.5488978926459742
MCF7,Tazemetostat (EPZ-6438),0.1828549284537279
MCF7,"Temsirolimus (CCI-779, NSC 683864)",0.3478686304217468
MCF7,Thalidomide,0.13130246043731986
MCF7,Thiotepa,0.11634764119839823
MCF7,Tie2 kinase inhibitor,0.12613171332286638
MCF7,Tofacitinib (CP-690550) Citrate,0.18584836701066243
MCF7,Toremifene Citrate,0.18162266751189554
MCF7,"Tozasertib (VX-680, MK-0457)",0.21481928492800093
MCF7,Trametinib (GSK1120212),0.5303857618052368
MCF7,Tranylcypromine (2-PCPA) HCl,0.1498297725769734
MCF7,Triamcinolone Acetonide,0.43775318932555096
MCF7,Trichostatin A (TSA),0.3234816596637199
MCF7,Tubastatin A HCl,0.1605946854486759
MCF7,Tucidinostat (Chidamide),0.14495738608020706
MCF7,UNC0379,0.221309629980622
MCF7,UNC0631,0.24207040970076935
MCF7,UNC1999,0.17776269858294458
MCF7,Valproic acid sodium salt (Sodium valproate),0.13829082783751198
MCF7,Vandetanib (ZD6474),0.2774782099129963
MCF7,Veliparib (ABT-888),0.13064880743347396
MCF7,WHI-P154,0.19812283003759226
MCF7,WP1066,0.14899971610096857
MCF7,XAV-939,0.13585461061843374
MCF7,ZM 447439,0.18025720758572827
MCF7,Zileuton,0.13581853682098777
