cell_line,drug,conc,shard,key,extracted
A549,olaparib,5.0,4,A549	olaparib	5.0,True
A549,palbociclib,5.0,4,A549	palbociclib	5.0,True
A549,venetoclax,5.0,4,A549	venetoclax	5.0,True
A549,vincristine,5.0,4,A549	vincristine	5.0,True
A549,8-Hydroxyquinoline,0.05,4,A549	8-Hydroxyquinoline	0.05,True
A549,18β-Glycyrrhetinic acid,0.05,4,A549	18β-Glycyrrhetinic acid	0.05,True
A549,(R)-Verapamil (hydrochloride),0.05,4,A549	(R)-Verapamil (hydrochloride)	0.05,True
A549,Acetohexamide,0.05,4,A549	Acetohexamide	0.05,True
A549,Adenine,0.05,4,A549	Adenine	0.05,True
A549,Adenosine,0.05,4,A549	Adenosine	0.05,True
A549,Aliskiren,0.05,4,A549	Aliskiren	0.05,True
A549,Allantoin,0.05,4,A549	Allantoin	0.05,True
A549,Almonertinib (hydrochloride),0.05,4,A549	Almonertinib (hydrochloride)	0.05,True
A549,Amsacrine,0.05,4,A549	Amsacrine	0.05,True
A549,Anethole trithione,0.05,4,A549	Anethole trithione	0.05,True
A549,Artesunate,0.05,4,A549	Artesunate	0.05,True
A549,Azithromycin (hydrate),0.05,4,A549	Azithromycin (hydrate)	0.05,True
A549,Baicalin,0.05,4,A549	Baicalin	0.05,True
A549,Balsalazide (sodium hydrate),0.05,4,A549	Balsalazide (sodium hydrate)	0.05,True
A549,Berbamine,0.05,4,A549	Berbamine	0.05,True
A549,Berberine (chloride hydrate),0.05,4,A549	Berberine (chloride hydrate)	0.05,True
A549,Bergenin,0.05,4,A549	Bergenin	0.05,True
A549,Bimatoprost,0.05,4,A549	Bimatoprost	0.05,True
A549,Busulfan,0.05,4,A549	Busulfan	0.05,True
A549,Cepharanthine,0.05,4,A549	Cepharanthine	0.05,True
A549,Chlorhexidine (diacetate),0.05,4,A549	Chlorhexidine (diacetate)	0.05,True
A549,Ciclopirox,0.05,4,A549	Ciclopirox	0.05,True
A549,Clonidine (hydrochloride),0.05,4,A549	Clonidine (hydrochloride)	0.05,True
A549,Clotrimazole,0.05,4,A549	Clotrimazole	0.05,True
A549,Cloxacillin (sodium),0.05,4,A549	Cloxacillin (sodium)	0.05,True
A549,Cysteamine (hydrochloride),0.05,4,A549	Cysteamine (hydrochloride)	0.05,True
A549,Darinaparsin,0.05,4,A549	Darinaparsin	0.05,True
A549,Demeclocycline,0.05,4,A549	Demeclocycline	0.05,True
A549,Diammonium Glycyrrhizinate,0.05,4,A549	Diammonium Glycyrrhizinate	0.05,True
A549,Docetaxel,0.05,4,A549	Docetaxel	0.05,True
A549,Elagolix sodium,0.05,4,A549	Elagolix sodium	0.05,True
A549,Fluvoxamine (maleate),0.05,4,A549	Fluvoxamine (maleate)	0.05,True
A549,Folic acid,0.05,4,A549	Folic acid	0.05,True
A549,Furosemide,0.05,4,A549	Furosemide	0.05,True
A549,Fusidic acid,0.05,4,A549	Fusidic acid	0.05,True
A549,Gallic acid (hydrate),0.05,4,A549	Gallic acid (hydrate)	0.05,True
A549,Gallic acid,0.05,4,A549	Gallic acid	0.05,True
A549,Gemfibrozil,0.05,4,A549	Gemfibrozil	0.05,True
A549,Goserelin (acetate),0.05,4,A549	Goserelin (acetate)	0.05,True
A549,Hexylresorcinol,0.05,4,A549	Hexylresorcinol	0.05,True
A549,Homoharringtonine,0.05,4,A549	Homoharringtonine	0.05,True
A549,Idarubicin (hydrochloride),0.05,4,A549	Idarubicin (hydrochloride)	0.05,True
A549,Isocorydine,0.05,5,A549	Isocorydine	0.05,True
A549,L-Thyroxine (sodium salt pentahydrate),0.05,5,A549	L-Thyroxine (sodium salt pentahydrate)	0.05,True
A549,Larotrectinib,0.05,5,A549	Larotrectinib	0.05,True
A549,Lenalidomide (hemihydrate),0.05,5,A549	Lenalidomide (hemihydrate)	0.05,True
A549,Lidocaine (hydrochloride),0.05,5,A549	Lidocaine (hydrochloride)	0.05,True
A549,Lipoic acid,0.05,5,A549	Lipoic acid	0.05,True
A549,Lumateperone (tosylate),0.05,5,A549	Lumateperone (tosylate)	0.05,True
A549,Medroxyprogesterone acetate,0.05,5,A549	Medroxyprogesterone acetate	0.05,True
A549,Megestrol,0.05,5,A549	Megestrol	0.05,True
A549,Mitoxantrone (dihydrochloride),0.05,5,A549	Mitoxantrone (dihydrochloride)	0.05,True
A549,Neratinib (maleate),0.05,5,A549	Neratinib (maleate)	0.05,True
A549,Norepinephrine (hydrochloride),0.05,5,A549	Norepinephrine (hydrochloride)	0.05,True
A549,Olanzapine,0.05,5,A549	Olanzapine	0.05,True
A549,Palmatine (chloride),0.05,5,A549	Palmatine (chloride)	0.05,True
A549,Pasireotide (acetate),0.05,5,A549	Pasireotide (acetate)	0.05,True
A549,Pentagastrin,0.05,5,A549	Pentagastrin	0.05,True
A549,Pentamidine (isethionate),0.05,5,A549	Pentamidine (isethionate)	0.05,True
A549,Pyridoxine (hydrochloride),0.05,5,A549	Pyridoxine (hydrochloride)	0.05,True
A549,Pyridoxine,0.05,5,A549	Pyridoxine	0.05,True
A549,Quinestrol,0.05,5,A549	Quinestrol	0.05,True
A549,Radotinib,0.05,5,A549	Radotinib	0.05,True
A549,Raltitrexed,0.05,5,A549	Raltitrexed	0.05,True
A549,Rapamycin,0.05,5,A549	Rapamycin	0.05,True
A549,Relugolix,0.05,5,A549	Relugolix	0.05,True
A549,Resveratrol,0.05,5,A549	Resveratrol	0.05,True
A549,Retinoic acid,0.05,5,A549	Retinoic acid	0.05,True
A549,Riluzole hydrochloride,0.05,5,A549	Riluzole hydrochloride	0.05,True
A549,Rimonabant,0.05,5,A549	Rimonabant	0.05,True
A549,Ritonavir,0.05,5,A549	Ritonavir	0.05,True
A549,Ropivacaine (hydrochloride monohydrate),0.05,5,A549	Ropivacaine (hydrochloride monohydrate)	0.05,True
A549,S-Adenosyl-L-methionine (disulfate tosylate),0.05,5,A549	S-Adenosyl-L-methionine (disulfate tosylate)	0.05,True
A549,Salicylic acid,0.05,5,A549	Salicylic acid	0.05,True
A549,Saquinavir,0.05,5,A549	Saquinavir	0.05,True
A549,Selinexor ,0.05,5,A549	Selinexor 	0.05,True
A549,Sinomenine,0.05,5,A549	Sinomenine	0.05,True
A549,Sodium Salicylate,0.05,5,A549	Sodium Salicylate	0.05,True
A549,Sulfisoxazole,0.05,5,A549	Sulfisoxazole	0.05,True
A549,Temsirolimus,0.05,5,A549	Temsirolimus	0.05,True
A549,Terfenadine,0.05,5,A549	Terfenadine	0.05,True
A549,Thymol,0.05,5,A549	Thymol	0.05,True
A549,Tofacitinib (citrate),0.05,5,A549	Tofacitinib (citrate)	0.05,True
A549,Tofacitinib,0.05,5,A549	Tofacitinib	0.05,True
A549,Tolcapone,0.05,5,A549	Tolcapone	0.05,True
A549,Triamcinolone,0.05,5,A549	Triamcinolone	0.05,True
A549,Triclosan,0.05,5,A549	Triclosan	0.05,True
A549,Trifluridine,0.05,5,A549	Trifluridine	0.05,True
A549,Trimetrexate,0.05,5,A549	Trimetrexate	0.05,True
A549,Tucidinostat,0.05,5,A549	Tucidinostat	0.05,True
A549,Vilanterol,0.05,5,A549	Vilanterol	0.05,True
A549,Vinblastine (sulfate),0.05,5,A549	Vinblastine (sulfate)	0.05,True
A549,8-Hydroxyquinoline,0.5,5,A549	8-Hydroxyquinoline	0.5,True
A549,18β-Glycyrrhetinic acid,0.5,5,A549	18β-Glycyrrhetinic acid	0.5,True
